CAKE CARROT CREAMCHEESE       , 1, PIECE, 385, 48, 21, 4, 74, 4.1 , 96
CAKE COFFEECAKE                    , 1, PIECE, 230, 38, 7, 5, 47, 2 , 72
CAKE DEVIL'S FOOD                 , 1, PIECE, 235, 40, 8, 3, 37, 3.5 , 69
CAKE YELLOW                     , 1, PIECE, 245, 39, 11, 2, 38, 5.7 , 69
CAKE FRUIT  DARK   	          , 1, PIECE, 165, 25, 7, 2, 20, 1.5 , 43
CANTALOUP  RAW                      , 0.5, MELN, 95, 22, 1, 2, 0, 0.1 , 267
CARAMELS  PLAIN OR CHOCOLATE        , 1, OZ, 115, 22, 3, 1, 1, 2.2 , 28.35
CAROB FLOUR                         , 1, CUP, 255, 126, 0, 6, 0, 0 , 140
CARROTS  CANNED  DRN  W/ SALT       , 1, CUP, 35, 8, 0, 1, 0, 0.1 , 146
CARROTS  CANNED DRND  W/O SALT      , 1, CUP, 35, 8, 0, 1, 0, 0.1 , 146
CARROTS  COOKED FROM FROZEN         , 1, CUP, 55, 12, 0, 2, 0, 0 , 146
CARROTS  COOKED FROM RAW            , 1, CUP, 70, 16, 0, 2, 0, 0.1 , 156
CARROTS  RAW  GRATED                , 1, CUP, 45, 11, 0, 1, 0, 0 , 110
CARROTS  RAW  WHOLE                 , 1, ITEM, 30, 7, 0, 1, 0, 0 , 72
#
YOGURT  W/ WHOLE MILK               , 8, OZ, 140, 11, 7, 8, 29, 4.8 , 227
# 
BAR HARVEST TRAIL ATKINS            , 1, ITM, 170, 19, 13, 8, 0, 3 , 38
SALAD CAFE-BOWL                     , 1, ITM, 280, 1,  6, 4, 0, 4 ,  80
#
SOUP BEAN WITH BACON        , 1, CUP, 170, 23, 6, 8, 3, 1.5 , 253
SOUP BEEF NOODLE             , 1, CUP, 85, 9, 3, 5, 5, 1.1 , 244
SOUP CHICKEN NOODLE         , 1, CUP, 75, 9, 2, 4, 7, 0.7 , 241
SOUP CHICKEN RICE            , 1, CUP, 60, 7, 2, 4, 7, 0.5 , 241
SOUP CHICKEN CREAM OF       , 1, CUP, 115, 9, 7, 3, 10, 2.1 , 244
SOUP MUSHROOM CREAM OF   , 1, CUP, 205, 15, 14, 6, 20, 5.1 , 248
SOUP MINESTRONE                    , 1, CUP, 80, 11, 3, 4, 2, 0.6 , 241
SOUP MISO                                , 1, CUP, 470, 65, 13, 29, 0, 1.8 , 276
SOUP PEA  GREEN                     , 1, CUP, 165, 27, 3, 9, 0, 1.4 , 250
SOUP TOMATO                          , 1, CUP, 160, 22, 6, 6, 17, 2.9 , 248
SOUP VEGETABLE BEEF           , 1, CUP, 80, 10, 2, 6, 5, 0.9 , 244


