### TP FILE - COLORADO/WY/NM/IA
# Name          ID      LAT		LONG		MSL	RWAY	RADIO   ATTR
 Bullseye    	CO90	38,45.25,N	104,18.50,W	6037	17/35	121.95	TA 
 Burnham     	6CO1	40,46.92,N	104,55.03,W	5620	08/26	_	TA 
 Bursch      	4KS8	39,35.47,N	101,35.57,W	3650	12/30	_	TA 
 Bussen      	6KS4	38,54.32,N	101,47.03,W	3475	14/32	_	TA 
 Butler      	WY19	41,06.35,N	104,12.45,W	5295	08/26	_	TA 
 ButtsAfb    	FCS	38,41.40,N	104,46.00,W	5838	04/22	_	TA 
 Calgary     	cal	51,00.00,N	114.20.00,W	5000	_	_	T 
 Calhan      	5V4	39,02.87,N	104,17.53,W	6450	17/35	122.725	TA 
 CamcoR      	NM52	35,34.48,N	103,17.23,W	4255	03/21	_	TAV 
 CanyonLa    	cny	38,45.50,N	109,44.50,W	4553	_	_	T 
 CarbonCO    	PUC	39,37.00,N	110,45.00,W	5921	08/26	122.8	TA 
 CarterS     	crs	40,18.00,N	105,14.00,W	6000	_	_	T 
 Casper      	cpr	42,54.50,N	106,27.70,W	5348	_	_	T 
  Laramie     	LAR	41,18.75,N	105,40.47,W	7277	03/21	122.95	TA 
 LarPeak     	LAP	42,15.00,N	105,25.00,W	10500	-	-	- 
 Larrabee    	NE08	40,32.87,N	101,58.70,W	3500	17/35	_	AV 
 LasVegas    	LVS	35,39.25,N	105,08.55,W	6874	02/20	123.0	TA 
 LasVegasT    	LVT	35,36.00,N	105,13.00,W	6874	_	_	T 
 Leach       	1V8	37,47.28,N	106,03.03,W	7598	12/30	_	TA 
 Leadville    	lxv	39,13.20,N	106,18.90,W	9927	_	_	TA 
 Lemons      	CO10	39,59.75,N	105,13.20,W	5230	N/S	_	TL 
 LeynersH    	13CO	40,02.78,N	105,06.73,W	5050	N/S	_	AV 
 Liberal     	LBL	37,02.65,N	100,57.60,W	2883	03/21	_	AV 
 Limon       	LIC	39,16.37,N	103,39.98,W	5364	16/34	122.9	TA 
 Lisbon       	LIS	38,46.52,N	  9,8.10,W	 374	_	_	TA 
 LoneTree    	35CO	38,48.00,N	103,52.00,W	5450	08/26	_	AV 
 Longmont    	2V2	40,09.75,N	105,09.83,W	5056	11/29	122.975	TA 
 London      	LHR	51,30.00,N	000.00.00,W	100	_	_	TA 
 LongsPea    	lpk	40,15.00,N	105,35.00,W	14250	_	_	T 
 LosAlamo    	LAM	35,55.00,N	106,17.00,W	7172	09/27	123.0	TA 
 Lubbock     	F82	33,29.13,N	101,48.75,W	3200	17/35	122.8	TA 
 Lucas       	SN25	37,25.12,N	101,33.50,W	3172	17/35	_	TA 
 Marion,IA     	C17	42,02.00,N	 91,31.04,W	 862	17/35	122.7	TA 
 Meyer       	CO53	39,33.00,N	105,17.04,W	8000	14/32	_	TA 
 McCullou    	02CO	37,38.60,N	106,02.82,W	7615	17/35	_	TA 
 McElroy     	20V	40,03.22,N	106,22.13,W	7411	03/21	122.8	TA 
 MeadowLa    	00V	38,56.10,N	104,34.42,W	6880	08/26	122.7	TA 
 Meade       	MEJ	37,16.76,N	100,21.37W	2529	16/34	122.8	TA 
 Medicine    	80V	41,53.00,N	106,10.85,W	6646	06/24	_	TA 
 MedBowPk    	mbpk	41,21.00,N	106,20.00,W	12013	-	_	T 
 Meeker      	EEO	40,02.93,N	107,53.15,W	6421	03/21	122.8	TA 
 Melon       	2V8	38,00.92,N	103,41.95,W	4259	08/26	122.9	TA 
 Merrihew    	0NE0	41,51.00,N	101,57.03,W	3815	_	_	AV 
 Merry       	0NE2	41,52.00,N	101,55.03,W	3791	N/S	_	TA 
 Miller      	1NE6	41,20.45,N	102,46.67,W	4100	08/26	_	TA 
 Miller2e    	2E1	36,05.50,N	102,24.95,W	3961	17/35	_	TA 
 MineralC    	Q39	37,49.25,N	106,55.87,W	8681	07/25	122.9	TA 
 Mollenka    	5KS6	38,46.00,N	101,15.43,W	3295	N/S	_	AV 
 Mondell     	ECS	43,53.12,N	104,19.07,W	4173	13/31	122.8	TA 
 MonteVis    	MVI	37,32.05,N	106,02.77,W	7608	02/20	122.8	TA 
 Monticello,IA 	MXO	42,13.22,N	91,09.80,W	 832	33/15	122.8	TA 
 Montrose    	MTJ	38,30.02,N	107,53.68,W	5758	13/31	122.8	TA 
 Moriarty    	0E0	34,59.13,N	106,00.57,W	6199	08/26	_	TA 
 MorningS    	CD69	37,44.60,N	106,31.10,W	8300	16/34	_	TA 
 Morris      	CD13	39,50.10,N	103,44.50,W	4750	08/26	_	TA 
 MtEvans     	mev	39,35.19,N	105,38.34,W	14264	_	_	T 
 Municipa    	K49	36,30.50,N	101,48.62,W	3462	03/21	_	TA 
 Nash        	7CO1	38,45.60,N	105,24.20,W	7999	10/28	_	T 
 Navajo      	5V9	37,00.08,N	107,25.37,W	6110	18/36	_	TA 
 WalkerGJ    	GJT	39,07.72,N	108,31.63,W	4859	04/22	118.1	TA 
 Wallace     	64V	40,49.93,N	101,09.85,W	3101	13/31	_	AV 
 WdlndPk     	wpk	39,00.00,N	105,04.00,W	8000	_	_	T 
 Westberg    	74CO	40,02.83,N	104,12.57,W	4857	14/32	_	AV 
 Westwate    	UT42	39,08.80,N	109,08.70,W	4660	18/36	_	AV 
 Widner      	8CO5	38,50.03,N	107,53.53,W	6020	04/22	_	AV 
 Williams    	7CO4	40,36.25,N	103,56.37,W	4860	07/25	_	TAP 
 WilsonR     	CO95	38,03.17,N	107,58.77,W	9580	10/28	_	AV 
 GrossRes    	grr	39,57.00,N	105,22.00,W	8000	_	_	T
 McElroy     	20V	40,03.22,N	106,22.13,W	7411	03/21	122.8	TA
 
